sector,trades,pnl,mean_roi,median_roi,mean_holding,capital
lego_sealed,68,1552.9129377718214,0.0352197851180292,0.0355544240099635,13.014705882352942,45710.9980528124
tcg_graded,47,1095.1126508787193,0.04427072736726185,0.04407192813890985,8.51063829787234,22377.032509591943
sports_cards,17,768.1428818494378,0.048273081729749645,0.050827465800862635,10.588235294117647,13412.395868239095
sneakers_ds,36,555.4833327830692,0.04013083888522485,0.042287221993244375,7.5,13710.954431291719
tcg_sealed,6,60.790261076065036,0.028716237207263087,0.02237815994129311,13.0,2603.8724022535916
smartphones,1,45.65754317709752,0.06999477132346144,0.06999477132346144,6.0,652.2993405622234
graded_comics,1,32.65163919425527,0.06901461651577205,0.06901461651577205,24.0,473.11194124788506
camera_bodies,1,25.523543514854964,0.021045877499787362,0.021045877499787362,17.0,1212.757392278504
gpus,1,22.22907758692395,0.026820840748366784,0.026820840748366784,4.0,828.7986866436153
rare_vinyl,1,6.459103985065724,0.01688617418049628,0.01688617418049628,6.0,382.50843062640325
retro_games,1,-10.31665909281105,-0.014654442429786778,-0.014654442429786778,17.0,703.9953339910974
luxury_handbags,1,-79.78936213847146,-0.03557817134051573,-0.03557817134051573,10.0,2242.649330535122
